chromosome	Start	End	strand	LTB4	GENE ID
1	248936581	248937043	+	4.539391069	RPL23AP25
1	248912690	248912795	-	0	RNU6-1205P
1	248906196	248919946	+	171.6723647	PGBD2
1	248850006	248859144	-	792.0150159	ZNF692
1	248838210	248849517	+	637.7586882	ZNF672
1	248826377	248826443	+	0	MIR3124
1	248810446	248826633	-	1606.944438	SH3BP5L
1	248721993	248722201	-	0	AHCYP8
1	248718649	248755739	-	7.565651782	LYPD8
1	248681369	248682304	-	0	OR14I1
1	248649838	248655528	-	0	OR2T27
1	248636356	248645278	-	0	OR2T35
1	248623557	248635091	-	0	OR2T11
1	248590487	248597700	-	0	OR2T10
1	248573801	248574757	-	0	OR2T34
1	248556912	248562772	-	0	OR2T29
1	248549444	248549762	-	0	OR2AS1P
1	248508073	248527337	+	0	OR2G6
1	248498308	248498649	+	0	OR2AS2P
1	248488589	248491113	+	0	OR2T5
1	248473351	248474307	+	0	OR2T3
1	248445512	248455725	+	0	OR2T2
1	248436359	248444316	+	0	OR2T7
1	248403048	248408020	+	0	OR2T1
1	248375746	248391811	+	0	OR2T6
1	248361581	248362627	+	0	OR2T4
1	248348775	248349713	+	0	OR14C36
1	248323630	248324568	-	0	OR2M7
1	248290139	248303424	-	0	OR2T12
1	248269917	248277976	-	0	OR2T33
1	248231417	248244679	+	0	OR2M4
1	248197265	248212925	+	0	OR2M3
1	248174821	248181067	+	0	OR2M2
1	248145148	248146086	+	0	OR2M5
1	248121932	248122882	+	0	OR2M1P
1	248095184	248101103	+	0	OR2L13
1	248083522	248087522	-	0	OR2T32P
1	248046836	248063407	+	0	OR2L3
1	248030070	248042305	+	0	OR2L2
1	248013660	248024276	+	0	OR2L5
1	248003129	248004068	+	0	OR2L6P
1	247980872	247991204	+	0.71030776	OR2L1P
1	247974741	247975653	+	0	OR2L9P
1	247965233	247966386	+	0	OR2AK2
1	247948858	247949796	+	0	OR2L8
1	247938973	247939659	+	0	OR2X1P
1	247936061	247937513	-	0	CLK3P2
1	247924889	247935339	+	0	OR2AJ1
1	247920252	247921956	+	0	OR2T8
1	247895587	247896531	+	0	OR2W3
1	247857199	247878205	+	0.847194702	TRIM58
1	247840928	247841896	-	0	OR11L1
1	247833349	247834288	-	0	OR6R1P
1	247827486	247828502	+	0	HSD17B7P1
1	247814660	247824119	-	0	OR14A16
1	247770169	247779524	+	0	OR9H1P
1	247754846	247760556	-	0	OR1C1
1	247738615	247739559	+	0	OR14K1
1	247722957	247724043	-	0	OR14A2
1	247711436	247716646	-	0	OR6F1
1	247670812	247679739	-	0	OR13G1
1	247666887	247667841	+	0	OR3D1P
1	247617143	247622372	+	0	OR14L1P
1	247605586	247606515	+	0	OR2G3
1	247588360	247589313	+	0	OR2G2
1	247524679	247532613	-	0	GCSAML-AS1
1	247524677	247536440	-	0	OR2C3
1	247507058	247577690	+	13.61817321	GCSAML
1	247488093	247492415	+	0	OR2W5
1	247449118	247458105	-	26.53872304	OR2B11
1	247416156	247449108	+	5129.437563	NLRP3
1	247297412	247331846	-	523.4968191	ZNF496
1	247255972	247257210	+	0	VN1R5
1	247236868	247237957	-	0	VN1R17P
1	247204570	247204661	-	13.11383685	RNA5SP82
1	247201967	247202060	-	0	MIR3916
1	247121975	247172016	-	51.4187759	ZNF124
1	247119669	247120278	+	0	FGFR3P6
1	247110160	247112417	-	1.513130356	C1orf229
1	247099962	247104372	-	170.9837303	ZNF669
1	247036784	247078755	-	1.65867019	ZNF670
1	246945547	247008093	-	3.317340381	ZNF695
1	246839098	246931967	-	5905.597861	AHCTF1
1	246776013	246792385	+	2.914185967	LINC01341
1	246771837	246839611	-	7.285464917	KIF28P
1	246724047	246768137	+	267.0459006	SCCPDH
1	246566444	246668584	+	1287.957403	CNST
1	246540560	246566324	-	178.7580822	TFB2M
1	246321663	246322438	-	0	SMYD3-IT1
1	246189014	246189118	-	0	RNU6-1283P
1	246178778	246179204	+	0	CHCHD4P5
1	245749342	246507312	-	75.65651782	SMYD3
1	245282831	245283089	-	0	DNAJC19P8
1	245154985	245709431	+	32.34406871	KIF26B
1	245133927	245134090	-	0	RNU1-132P
1	245043928	245044032	+	0	RNU6-999P
1	245023015	245023118	+	0	RNU6-1089P
1	244969705	245127164	+	29.85606343	EFCAB2
1	244954858	244954963	+	0	RNU6-947P
1	244943910	244944216	+	0	RN7SKP55
1	244840638	244864560	-	8009.378716	HNRNPU
1	244835322	244845057	+	36.31512855	COX20
1	244652935	244709033	+	446.1822812	DESI2
1	244598391	244598687	-	0	CYCSP5
1	244408494	244452134	-	871.5630853	ADSS
1	244394976	244395660	-	6.052521426	TGIF2P1
1	244352635	244389663	+	4.26184656	C1orf100
1	244103932	244104210	+	0	RN7SL148P
1	244048939	244057476	+	4259.08279	ZBTB18
1	243793205	243794400	-	0	AKT3-IT1
1	243624666	243625056	-	0	FABP7P1
1	243488233	243851079	-	130.1292107	AKT3
1	243346176	243346255	+	1.42061552	MIR4677
1	243267257	243268119	-	2.13092328	FCF1P7
1	243256034	243500092	+	748.0602558	SDCCAG8
1	243124428	243255348	-	4032.227233	CEP170
1	243081156	243081259	-	0	RNU6-747P
1	243056307	243101744	-	127.145089	LINC01347
1	242772620	242773103	+	0	RSL24D1P4
1	242365189	242365822	+	0	RPL10AP5
1	242188647	242188789	-	0	RN7SKP12
1	242082986	242524696	-	0	PLD5
1	242057085	242060242	+	0	TUBB8P6
1	241995490	241999073	-	1.457092983	MAP1LC3C
1	241993185	241993682	+	0	CFL1P4
1	241957767	241959062	+	0	BECN2
1	241916123	241916543	+	0	RPL23AP20
1	241847967	241895148	+	15.24950464	EXO1
1	241652278	241802133	+	0	WDR64
1	241628853	241640254	-	209.8213896	CHML
1	241590102	241677376	-	33.51313862	OPN3
1	241532134	241595642	+	24.05071776	KMO
1	241497603	241519761	-	183.0887731	FH
1	241132272	241132346	+	0	MIR3123
1	240919653	240920609	+	0	HNRNPA1P42
1	240823006	240823433	-	0	RFKP1
1	240775515	241357230	-	0	RGS7
1	240653367	240653477	+	0	RNU5F-8P
1	240489573	240612149	-	6.052521426	GREM2
