chromosome,Start,End,strand,Blood,CFASN,LTB4,GENE ID
1,248936581,248937043,+,12.03180698,0.993527343,4.539391069,RPL23AP25
1,248912690,248912795,-,0,0,0,RNU6-1205P
1,248906196,248919946,+,197.6384844,192.361034,171.6723647,PGBD2
1,248850006,248859144,-,1378.844718,736.2389576,792.0150159,ZNF692
1,248838210,248849517,+,477.8986437,518.9590338,637.7586882,ZNF672
1,248826377,248826443,+,0,0,0,MIR3124
1,248810446,248826633,-,3293.592472,1154.419075,1606.944438,SH3BP5L
1,248721993,248722201,-,0,0,0,AHCYP8
1,248718649,248755739,-,30.6258092,1.412133425,7.565651782,LYPD8
1,248681369,248682304,-,0,0,0,OR14I1
1,248649838,248655528,-,0,0,0,OR2T27
1,248636356,248645278,-,0,0,0,OR2T35
1,248623557,248635091,-,0,0,0,OR2T11
1,248590487,248597700,-,0,0,0,OR2T10
1,248573801,248574757,-,0,0,0,OR2T34
1,248556912,248562772,-,0,0,0,OR2T29
1,248549444,248549762,-,0,0,0,OR2AS1P
1,248508073,248527337,+,0,0,0,OR2G6
1,248498308,248498649,+,0,0,0,OR2AS2P
1,248488589,248491113,+,0,0,0,OR2T5
1,248473351,248474307,+,0,0,0,OR2T3
1,248445512,248455725,+,0,0,0,OR2T2
1,248436359,248444316,+,0,0,0,OR2T7
1,248403048,248408020,+,0,0,0,OR2T1
1,248375746,248391811,+,0,0,0,OR2T6
1,248361581,248362627,+,0,0,0,OR2T4
1,248348775,248349713,+,0,0,0,OR14C36
1,248323630,248324568,-,0,0,0,OR2M7
1,248290139,248303424,-,0,0,0,OR2T12
1,248269917,248277976,-,0,0,0,OR2T33
1,248231417,248244679,+,0,0,0,OR2M4
1,248197265,248212925,+,0,0,0,OR2M3
1,248174821,248181067,+,0,0,0,OR2M2
1,248145148,248146086,+,0,0,0,OR2M5
1,248121932,248122882,+,0,0,0,OR2M1P
1,248095184,248101103,+,0,0,0,OR2L13
1,248083522,248087522,-,0,0,0,OR2T32P
1,248046836,248063407,+,0,0,0,OR2L3
1,248030070,248042305,+,0,0,0,OR2L2
1,248013660,248024276,+,0,0,0,OR2L5
1,248003129,248004068,+,0,0,0,OR2L6P
1,247980872,247991204,+,0,0,0.71030776,OR2L1P
1,247974741,247975653,+,0,0,0,OR2L9P
1,247965233,247966386,+,0,0,0,OR2AK2
1,247948858,247949796,+,0,0,0,OR2L8
1,247938973,247939659,+,0,0,0,OR2X1P
1,247936061,247937513,-,0,0,0,CLK3P2
1,247924889,247935339,+,0,0,0,OR2AJ1
1,247920252,247921956,+,0,0,0,OR2T8
1,247895587,247896531,+,0,0,0,OR2W3
1,247857199,247878205,+,9.682490782,0,0.847194702,TRIM58
1,247840928,247841896,-,0,0,0,OR11L1
1,247833349,247834288,-,0,0,0,OR6R1P
1,247827486,247828502,+,0,0,0,HSD17B7P1
1,247814660,247824119,-,0,0,0,OR14A16
1,247770169,247779524,+,0,0,0,OR9H1P
1,247754846,247760556,-,0,0,0,OR1C1
1,247738615,247739559,+,0,0,0,OR14K1
1,247722957,247724043,-,0,0,0,OR14A2
1,247711436,247716646,-,0,0,0,OR6F1
1,247670812,247679739,-,0,0,0,OR13G1
1,247666887,247667841,+,0,0,0,OR3D1P
1,247617143,247622372,+,0,0,0,OR14L1P
1,247605586,247606515,+,0,0,0,OR2G3
1,247588360,247589313,+,0,0,0,OR2G2
1,247524679,247532613,-,1.174658097,0,0,GCSAML-AS1
1,247524677,247536440,-,0,0,0,OR2C3
1,247507058,247577690,+,65.15856362,1.012921529,13.61817321,GCSAML
1,247488093,247492415,+,0,0,0,OR2W5
1,247449118,247458105,-,8.544854415,0,26.53872304,OR2B11
1,247416156,247449108,+,1041.394882,40.07521542,5129.437563,NLRP3
1,247297412,247331846,-,225.0665664,311.4416741,523.4968191,ZNF496
1,247255972,247257210,+,0,0,0,VN1R5
1,247236868,247237957,-,0,0,0,VN1R17P
1,247204570,247204661,-,14.76190043,5.571068407,13.11383685,RNA5SP82
1,247201967,247202060,-,0,0,0,MIR3916
1,247121975,247172016,-,23.94667296,69.19453784,51.4187759,ZNF124
1,247119669,247120278,+,0,0,0,FGFR3P6
1,247110160,247112417,-,0,2.632316479,1.513130356,C1orf229
1,247099962,247104372,-,127.2381408,107.9249756,170.9837303,ZNF669
1,247036784,247078755,-,6.672794425,2.632316479,1.65867019,ZNF670
1,246945547,247008093,-,2.757586505,8.941746088,3.317340381,ZNF695
1,246839098,246931967,-,8333.577616,2626.393767,5905.597861,AHCTF1
1,246776013,246792385,+,8.55560831,2.82426685,2.914185967,LINC01341
1,246771837,246839611,-,8.11636056,3.974109372,7.285464917,KIF28P
1,246724047,246768137,+,128.5252272,923.980429,267.0459006,SCCPDH
1,246566444,246668584,+,592.712195,1350.705621,1287.957403,CNST
1,246540560,246566324,-,68.1453617,588.5074081,178.7580822,TFB2M
1,246321663,246322438,-,0,0,0,SMYD3-IT1
1,246189014,246189118,-,0,0,0,RNU6-1283P
1,246178778,246179204,+,0,0,0,CHCHD4P5
1,245749342,246507312,-,51.50049421,369.9789574,75.65651782,SMYD3
1,245282831,245283089,-,0,0,0,DNAJC19P8
1,245154985,245709431,+,3.317422498,248.5354828,32.34406871,KIF26B
1,245133927,245134090,-,0,0,0,RNU1-132P
1,245043928,245044032,+,0,0,0,RNU6-999P
1,245023015,245023118,+,0,0,0,RNU6-1089P
1,244969705,245127164,+,121.074115,117.4988973,29.85606343,EFCAB2
1,244954858,244954963,+,0,0,0,RNU6-947P
1,244943910,244944216,+,0,0,0,RN7SKP55
1,244840638,244864560,-,8434.916679,4722.880241,8009.378716,HNRNPU
1,244835322,244845057,+,66.72650876,25.19013541,36.31512855,COX20
1,244652935,244709033,+,336.6029354,742.1649253,446.1822812,DESI2
1,244598391,244598687,-,0,0,0,CYCSP5
1,244408494,244452134,-,941.3310661,1000.280262,871.5630853,ADSS
1,244394976,244395660,-,3.421872244,2.118200138,6.052521426,TGIF2P1
1,244352635,244389663,+,8.544913441,1.717509232,4.26184656,C1orf100
1,244103932,244104210,+,0,0,0,RN7SL148P
1,244048939,244057476,+,3727.741225,592.3899719,4259.08279,ZBTB18
1,243793205,243794400,-,0,0,0,AKT3-IT1
1,243624666,243625056,-,0,0,0,FABP7P1
1,243488233,243851079,-,125.0459433,302.0323123,130.1292107,AKT3
1,243346176,243346255,+,0,0.506460764,1.42061552,MIR4677
1,243267257,243268119,-,2.564766484,0.993527343,2.13092328,FCF1P7
1,243256034,243500092,+,344.0281417,506.698945,748.0602558,SDCCAG8
1,243124428,243255348,-,1189.381765,968.102704,4032.227233,CEP170
1,243081156,243081259,-,0,0,0,RNU6-747P
1,243056307,243101744,-,517.7531333,50.64607643,127.145089,LINC01347
1,242772620,242773103,+,0,0,0,RSL24D1P4
1,242365189,242365822,+,0,0,0,RPL10AP5
1,242188647,242188789,-,0,0,0,RN7SKP12
1,242082986,242524696,-,0,0,0,PLD5
1,242057085,242060242,+,0,0,0,TUBB8P6
1,241995490,241999073,-,0,1.012921529,1.457092983,MAP1LC3C
1,241993185,241993682,+,0,0,0,CFL1P4
1,241957767,241959062,+,0,0.572503077,0,BECN2
1,241916123,241916543,+,0,0,0,RPL23AP20
1,241847967,241895148,+,2.281258001,74.42540007,15.24950464,EXO1
1,241652278,241802133,+,2.615817507,0.993527343,0,WDR64
1,241628853,241640254,-,97.2108441,1241.186672,209.8213896,CHML
1,241590102,241677376,-,27.37170256,169.7844129,33.51313862,OPN3
1,241532134,241595642,+,11.66782791,11.45006155,24.05071776,KMO
1,241497603,241519761,-,75.82983496,887.0906535,183.0887731,FH
1,241132272,241132346,+,0,0,0,MIR3123
1,240919653,240920609,+,0,0,0,HNRNPA1P42
1,240823006,240823433,-,0,0,0,RFKP1
1,240775515,241357230,-,5.336114274,1.012921529,0,RGS7
1,240653367,240653477,+,0,0,0,RNU5F-8P
1,240489573,240612149,-,5.558085848,3.54522535,6.052521426,GREM2
1,240170155,240171291,+,0,0,0,ADH5P3
1,240014348,240475189,+,0,5.922712078,0,FMN2
1,240012646,240013226,+,0,0,0,RPS7P5
1,239898016,239899872,-,0,0,0,CHRM3-AS1
1,239703381,239730465,-,345.9377157,16.9456011,149.8749374,CHRM3-AS2
1,239386565,239915452,+,2.031763857,0,0,CHRM3
1,238777049,238779200,-,0,0,0,MIPEPP2
1,238491358,238492644,+,0,0,0,KRT18P32
1,238476542,238486054,-,0,0,0,LINC01139
1,238325687,238325788,-,0,0,0,RNU6-725P
1,238107736,238108567,-,0,0,0,YWHAQP9
1,237949736,237951536,-,0,0,0,MTND5P18
1,237949214,237949734,+,0,0,0,MTND6P15
1,237943724,237945275,-,0,0,0,MTRNR2L11
1,237877864,237890922,-,0,0,0,ZP4
1,237471119,237471191,+,0,0,0,MIR4428
1,237120807,237121109,+,0,0,0,RN7SKP195
1,237042205,237833988,+,0.42855288,0.993527343,1.694389405,RYR2
1,237004103,237004418,-,0,0,0,MT1HL1
1,236981339,236981708,+,0,0.506460764,0,RPL35P1
1,236795281,236903981,+,311.5708891,1143.122008,366.8353061,MTR
1,236686454,236764631,+,0,0,4.146675476,ACTN2
1,236549005,236604504,-,170.7178268,1118.671013,288.0461988,HEATR1
1,236523052,236524508,-,0.85710576,4.967636715,1.65867019,LGALS8-AS1
1,236518000,236552981,+,1532.503774,1714.369687,1446.893332,LGALS8
1,236483165,236484468,+,0,0,0,ENO1P1
1,236348257,236502915,+,7.506371731,0,1.694389405,EDARADD
1,236267780,236267958,+,0,0,0,RNU2-70P
1,236215555,236281985,-,446.6323535,79.00542469,323.8098963,ERO1B
1,236142505,236221865,+,57.06417577,19.08429447,195.193816,GPR137B
1,235975830,236065162,-,29.34015056,7.442540007,24.77058072,NID1
1,235915415,235915521,+,0,0,0,RNU6-968P
1,235853000,235853060,-,0,0,0,MIR1537
1,235839483,235840182,+,30.15890553,0.706066713,1.513130356,LYST-AS1
1,235738005,235738989,+,27.96935784,2.118200138,2.914185967,LDHAP2
1,235661041,235883640,-,29028.20437,1871.076788,3102.624296,LYST
1,235547687,235650754,-,0,12.50350328,5.805345666,GNG4
1,235541759,235542097,-,0,0,0,MTND3P8
1,235540053,235541415,-,0,0,0,MTND4P10
1,235538052,235539845,-,0,0,0,MTND5P19
1,235537520,235538041,+,0,0,0,MTND6P14
1,235449923,235504481,-,61.23814173,285.606338,112.9389338,B3GALNT2
1,235432985,235433231,+,0,0,0,RPS21P1
1,235367360,235452443,+,147.0904837,412.6156081,165.5017081,TBCE
1,235336806,235337087,+,4.694458803,0,3.026260713,AL391994.1
1,235327350,235344532,+,405.0665835,608.038734,408.0328668,GGPS1
1,235295865,235296335,+,0.42855288,0,0,RPL23AP23
1,235190034,235190116,-,1.015881929,0,0,MIR4753
1,235131634,235328219,-,6515.415222,1347.881354,4111.435891,ARID4B
1,235131183,235161457,-,12.39855494,11.64859758,9.952021142,RBM34
1,235127803,235127937,-,0,4.558146879,1.457092983,SNORA14B
1,235109336,235128936,-,609.051969,3035.98382,1007.314501,TOMM20
1,235065479,235074220,-,9.447417613,53.17838025,30.54323368,LINC01348
1,234904186,234904488,+,0,0,0,RN7SL668P
1,234837976,234838069,+,0,0,0,RNY4P16
1,234724042,234736720,+,0.42855288,1.987054686,3.317340381,LINC01132
1,234629311,234634780,+,0.42855288,0.65807912,1.65867019,LINC00184
1,234604269,234609525,-,815.5372378,1499.104235,3156.607685,IRF2BP2
1,234527891,234531779,-,0.42855288,2.118200138,14.57092983,LINC01354
1,234391313,234479103,-,251.6706439,375.1050983,147.4118782,TARBP1
1,234373456,234384049,+,35.85122607,135.6832294,46.1700044,COA6
1,234306467,234306539,+,0,0,0,MIR4671
1,234026851,234027227,-,0,0,0,RAC1P7
1,233904933,234324516,+,2.845029081,0,0.829335095,SLC35F3
1,233624152,233624219,+,0,0,0,MIR4427
1,233614004,233672512,+,0,921.2521303,105.0521431,KCNK1
1,233448626,233448781,-,0,0,0,RNU4-77P
1,233288868,233289447,-,4.700980088,3.038764586,2.84123104,RPS7P3
1,232950605,232983882,+,143.3215679,276.7781513,536.5798066,NTPCR
1,232917235,232918018,+,0,0,0,AL122003.1
1,232832017,232832187,-,0,0,0,RNU1-74P
1,232804892,232808407,+,15.19045331,8.941746088,19.90404228,MAP10
1,232700204,232700308,+,0,0,0,RNU6-1211P
1,232397965,232561558,-,3632.731487,1898.214945,14240.06978,SIPA1L2
1,232222866,232223145,+,0,0,0,RN7SL299P
1,232221938,232222174,-,0,0,0,BX323014.1
1,231925834,231945233,+,1.849429722,0,0,DISC1-IT1
1,231670635,231670750,+,0,0,0,RNU5A-5P
1,231626815,232041272,+,341.5719738,29.65480193,33.38446472,DISC1
1,231591292,231612090,-,1.282383242,0,0,LINC00582
1,231528653,231566524,+,498.529243,407.3509752,411.3502072,TSNAX
1,231528653,231819244,+,0.587329049,0.706066713,0,TSNAX-DISC1
1,231475956,231476288,-,0,0,0,SNRPD2P2
1,231363751,231425044,-,7470.358795,833.8647876,858.2082335,EGLN1
1,231337104,231355023,+,379.361145,210.5853183,335.1313862,SPRTN
1,231332753,231337852,-,1600.124275,631.755955,1863.828345,EXOC8
1,231281414,231281524,-,0,0,0,RNA5SP80
1,231241207,231277973,+,597.5140018,870.3299525,455.4522373,GNPAT
1,231223763,231241187,-,185.019669,161.0545231,190.7470719,C1orf131
1,231162112,231221556,+,2.170257457,2.632316479,1.694389405,TRIM67
1,231019828,231019924,-,0,0,0,MIR1182
1,231018958,231040246,-,3.698859443,7.060667126,5.083168214,FAM89A
1,230978981,231000595,+,44.2718426,179.8284491,60.52521426,ARV1
1,230906243,230978875,-,673.8387046,413.2736872,324.9317353,TTC13
1,230894141,230894427,+,0,0,0,RN7SL837P
1,230837119,230869589,-,14.78353189,1041.216656,159.272604,C1orf198
1,230820250,230820358,+,0,0,0,RNA5SP79
1,230747384,230802003,+,0,38.82666807,7.285464917,CAPN9
1,230702523,230714297,-,0,261.2446837,13.61817321,AGT
1,230642489,230693982,+,186.2285423,835.8544931,232.1313484,COG2
1,230314482,230426371,-,0,41.52978267,7.285464917,PGBD5
1,230057990,230282124,+,732.5159388,3027.396274,1598.902768,GALNT2
1,229705234,229705861,-,0,0,0,HMGB1P26
1,229626234,229660199,+,54.91581566,504.941382,110.7390667,URB2
1,229593111,229626047,-,279.0921493,967.3763061,302.6260713,TAF5L
1,229570532,229570796,+,0,0,0,HMGN2P19
1,229549905,229550022,+,1.44115941,2.82426685,0,RNA5SP78
1,229535064,229535189,-,0,0,0,RNU4-21P
1,229516582,229558695,-,200.2537621,287.1294021,114.3595494,ABCB10
1,229440260,229508341,-,378.9805396,715.2455799,444.8603248,NUP133
1,229431245,229434098,-,2.578527768,4.051686115,2.914185967,ACTA1
1,229410500,229410767,-,0,0,0,RN7SKP276
1,229383128,229383188,+,0,0,0,RNU6-180P
1,229321005,229343294,-,844.6458784,201.0649234,559.5237056,CCSAP
1,229304857,229305504,+,0,0,0,SPHAR
1,229271062,229305894,+,155.7460597,260.4889002,144.2522053,RAB4A
1,229249636,229251810,+,0,0,0,TMEM78
1,229042171,229042591,+,0,0,0,ISCA1P2
1,228735077,228746669,+,117.5436778,100.3462616,100.3495465,RHOU
1,228687415,228687826,+,61.19135071,94.70816293,310.0732611,FTH1P2
1,228650241,228651379,+,0,18.23258752,3.317340381,DUSP5P1
1,228647912,228648032,-,0,7.442540007,0.71030776,RNA5SP18
1,228646040,228646158,-,0,0,0,RNA5S17
1,228643809,228643927,-,0,0,0,RNA5S16
1,228641568,228641686,-,0,0,0,RNA5S15
1,228639337,228639455,-,0,0,0,RNA5S14
1,228637096,228637214,-,0,0,0,RNA5S13
1,228634871,228634989,-,0,0,0,RNA5S12
1,228632631,228632749,-,0,0,0,RNA5S11
1,228630390,228630508,-,0,0,0,RNA5S10
1,228628148,228628266,-,0,0,0,RNA5S9
1,228625909,228626027,-,0,0,0,RNA5S8
1,228623667,228623785,-,0,0,0,RNA5S7
1,228621447,228621565,-,0,0,0,RNA5S6
1,228619232,228619350,-,0,0,0,RNA5S5
1,228616991,228617109,-,0,0,0,RNA5S4
1,228614750,228614868,-,0,0,0,RNA5S3
1,228612509,228612627,-,0,0,0,RNA5S2
1,228610268,228610386,-,0,0,0,RNA5S1
1,228558296,228558339,-,0,1.987054686,0,RNA5SP162
1,228555793,228555901,+,0,0,0,RNA5SP19
1,228510425,228512305,-,0.42855288,0.65807912,0,BTNL10
1,228487061,228495766,+,484.8425449,2626.568171,894.2600406,RNF187
1,228486188,228487120,-,0,0,0,AL139288.1
1,228464103,228464626,-,0,0,0,HIST3H2BA
1,228462074,228462152,+,0,0,0,MIR4666A
1,228458107,228460470,+,2.170257457,0,0,HIST3H2BB
1,228456979,228457873,-,5.336114274,0.572503077,4.235973512,HIST3H2A
1,228449163,228449621,-,0,0,0,RPL23AP15
1,228424845,228425325,-,0.42855288,0.65807912,0,HIST3H3
1,228407940,228416861,-,15.11170024,31.06693536,9.952021142,TRIM17
1,228397048,228397109,-,0,0,0,MIR6742
1,228393673,228406840,-,887.7455646,798.641793,822.626056,TRIM11
1,228208130,228378874,+,751.477559,225.7211381,199.0907551,OBSCN
1,228165815,228182257,+,82.53383435,321.8006896,144.1924753,IBA57
1,228149852,228159826,+,5.498136328,13.16797987,8.293350951,GJC2
1,228139962,228148984,+,3132.062933,3021.038459,3763.522662,GUK1
1,228114997,228115473,-,0,1.012921529,1.694389405,FAM96AP2
1,228106679,228109312,-,275.8204852,455.8146879,298.2125352,MRPL55
1,228100726,228105411,-,126.8250372,401.0458928,206.5044387,C1orf35
1,228097263,228097341,+,0,0,0,MIR3620
1,228082660,228099212,+,12842.33953,11928.99711,19498.19777,ARF1
1,228007051,228061260,+,0,0,0,WNT3A
1,227980051,227980227,+,0,0,0,SEPT14P17
1,227975390,227978193,-,0,0,0,CICP26
1,227941590,227941683,-,0,0,0,MIR5008
1,227918656,227947898,-,2.564766484,33.77768157,8.7425579,WNT9A
1,227815693,227846470,+,0,0,0,PRSS38
1,227743831,227747191,-,0,0,0,SNAP47-AS1
1,227730425,227735411,-,19.24557483,99.36994709,22.01954056,JMJD4
1,227728539,227781231,+,127.8388377,477.4675666,192.3131974,SNAP47
1,227696892,227706699,-,0,0,0,ZNF847P
1,227598424,227599094,-,0,0,0,AL592310.1
1,227563543,227677443,+,30.43375723,191.9486297,40.85451962,ZNF678
1,227561181,227561300,+,0,0,0,RNA5SP77
1,227506182,227508292,+,0,0,0,TUBB8P9
1,227493029,227495142,-,0,0,0,TUBB8P10
1,227434064,227434346,+,0,0,0,BTF3P9
1,226989865,227318474,-,8.501971091,933.9157025,120.9387176,CDC42BPA
1,226870184,226896105,+,72.11700609,293.7237524,107.4322553,PSEN2
1,226781501,226781744,+,0,0,0,RPS27P5
1,226668897,226676345,+,1.015881929,0,0,ITPKB-AS1
1,226656640,226675067,-,179.3492042,15.19382293,98.35347317,ITPKB-IT1
1,226631690,226739323,-,4188.453891,267.9177443,1862.663469,ITPKB
1,226493188,226493489,-,0,0,0,CDKN2AIPNLP1
1,226445937,226446292,+,0,0,0,RN7SKP165
1,226360691,226408079,-,607.6117644,5379.796804,795.9065675,PARP1
1,226318015,226318693,-,0,0,0,YBX1P9
1,226231149,226309869,-,20.169799,90.15683941,36.31512855,LIN9
1,226223618,226227054,+,0,0,0,MIXL1
1,226144679,226186730,-,523.7046533,1748.424399,747.4863961,ACBD3
1,226061851,226072001,+,27345.08718,2695.056642,16530.28219,H3F3A
1,225982702,225999331,-,922.5044515,908.0839916,1739.543704,SDE2
1,225964179,225964428,+,0,0,0,NDUFA3P3
1,225936598,225941489,-,0,0,0,LEFTY2
1,225922080,225922142,-,0,0,0,MIR6741
1,225919877,225924340,-,427.3729002,519.2602912,415.1254042,PYCR2
1,225886282,225911382,-,0.42855288,0,0,LEFTY1
1,225845536,225882369,-,4177.137133,2231.972588,1561.637984,TMEM63A
1,225810092,225845563,+,398.2228606,2630.342242,617.3571854,EPHX1
1,225777813,225790466,+,476.9586546,1466.180381,509.9249301,SRP9
1,225741275,225741380,+,0,0,0,RNU6-1304P
1,225486835,225653142,-,1.015881929,1289.277817,227.0481802,ENAH
1,225401502,225428925,-,8981.806675,2082.190736,7949.986893,LBR
1,224896262,225399292,+,63.98321845,171.8802303,53.98338976,DNAH14
1,224717504,224730662,-,0,0,0,AL596330.1
1,224574434,224575389,+,0,0,0,AKR1B1P1
1,224434660,224740549,+,42.31864698,10.59100069,23.44015608,CNIH3
1,224398227,224398311,-,0,0,0,MIR4742
1,224385143,224437033,-,11494.31079,2966.710947,7605.266843,WDR26
1,224356850,224379459,+,437.1776803,576.245859,186.1006331,CNIH4
1,224305380,224305483,+,0,0,0,RNU6-1008P
1,224257004,224257141,-,0,0,0,MIR320B2
1,224227334,224330387,-,127.2000491,360.6769388,124.0766892,NVL
1,224175756,224193441,+,1418.220376,1001.908665,529.9451258,DEGS1
1,224114087,224162047,+,453.8125684,1202.256463,648.5109849,FBXO28
1,224107282,224107541,-,0,0,0,RN7SKP49
1,223976146,223976249,-,0,0,0,RNU6-1319P
1,223951394,223992594,-,31.29853627,12.00313411,9.122686047,GTF2IP20
1,223947605,223950416,+,0,0,0,CICP5
1,223863726,223864851,-,1.872987689,1.987054686,0.847194702,ACTBP11
1,223856579,223857387,-,0,0.572503077,0,PHBP11
1,223779899,223845972,-,1075.356417,1628.745821,1363.839032,TP53BP2
1,223701593,223776018,+,1274.137824,20656.48354,3463.331943,CAPN2
1,223690051,223690114,+,0,0,0,RNU6-1248P
1,223644110,223644383,-,0,0.572503077,0,SNRPEP10
1,223538007,223665734,-,10.26395824,3743.154033,450.9128462,CAPN8
1,223393417,223395470,+,0,0,0,CCDC185
1,223373822,223373956,+,0,0,0,RNU4-57P
1,223220819,223364202,-,26.53097379,12.5950677,6.052521426,SUSD4
1,223109406,223143282,-,531.553959,153.9967382,52.4553474,TLR5
1,222945725,222945900,+,0,0,0,NDUFB1P2
1,222872271,223005995,+,20.10268059,265.8919013,41.51254042,DISP1
1,222737207,222750805,+,27.21774758,7.060667126,10.19965088,FAM177B
1,222712553,222735196,+,1279.51384,1241.186672,2127.461281,BROX
1,222668013,222713210,-,261.3643262,691.9453784,194.8547815,AIDA
1,222618086,222668012,+,2556.262777,2594.011444,1686.98093,MIA3
1,222589825,222593032,+,1.174658097,9.935273431,4.146675476,TAF1A-AS1
1,222557902,222589933,-,37.76107023,134.1526754,34.9702316,TAF1A
1,222522258,222548103,-,1.285658641,147.0420468,20.39930177,HHIPL2
1,222503632,222503735,-,0,0,0,RNU6-791P
1,222468094,222470882,+,0,0,0,CICP13
1,222261833,222262796,-,0,0,0,QRSL1P2
1,221837334,221837437,-,0,26.82523826,1.694389405,RNU6-403P
1,221701424,221742176,-,43.19233633,420.5125576,529.1157907,DUSP10
1,221330080,221336296,-,0,0,0,C1orf140
1,220879400,220885059,+,2041.997349,16.9456011,456.9653676,HLX
1,220832763,220880140,-,1.015881929,0,0,HLX-AS1
1,220829255,220832429,+,4.272427207,0,1.457092983,LINC01352
1,220825620,220826063,+,2.170257457,0,0,RNU6ATAC35P
1,220689845,220699157,+,6.939295738,0,4.146675476,C1orf115
1,220625740,220628056,+,0,0,0,HDAC1P2
1,220571739,220572035,-,0,0,0,RN7SL464P
1,220528183,220664461,+,0,0,0,MARK1
1,220313945,220315565,-,0,0,0,XRCC6P3
1,220253570,220254536,+,169.8210552,109.4403405,186.5079019,MORF4L1P1
1,220200546,220200676,-,0,0,0,SNORA36B
1,220200538,220200619,-,0,0,0,MIR664A
1,220148293,220272454,-,1047.717008,1010.381466,1167.13148,RAB3GAP2
1,220143964,220144351,-,1.849429722,1.717509232,0,RPS15AP12
1,220118157,220118241,-,0,0,0,MIR194-1
1,220117853,220117962,-,0,0,0,MIR215
1,220094102,220148041,+,538.1303529,3624.387747,740.2032355,IARS2
1,220057482,220090462,-,90.02630793,544.9517824,96.1681369,BPNT1
1,219968601,220046658,-,450.9773141,4551.30603,930.5751692,EPRS
1,219761789,219761875,+,0,0,0,RNA5SP76
1,219685427,219958647,-,0,0,0,SLC30A10
1,219609627,219612062,-,0,1.012921529,1.694389405,ZC3H11B
1,219199914,219200567,-,52.31121935,9.116293758,4.146675476,RIMKLBP2
1,219173844,219212865,+,195.8928295,153.0032108,35.66140909,LYPLAL1
1,218881600,218882650,-,0,0,0,NXNP1
1,218510096,218525978,+,0,0.572503077,0,C1orf143
1,218442626,218443996,+,0,0,0,TGFB2-OT1
