chromosome	Start	End	strand	CFASN	GENE ID
1	248936581	248937043	+	0.993527343	RPL23AP25
1	248906196	248919946	+	192.361034	PGBD2
1	248850006	248859144	-	736.2389576	ZNF692
1	248838210	248849517	+	518.9590338	ZNF672
1	248810446	248826633	-	1154.419075	SH3BP5L
1	248718649	248755739	-	1.412133425	LYPD8
1	247507058	247577690	+	1.012921529	GCSAML
1	247416156	247449108	+	40.07521542	NLRP3
1	247297412	247331846	-	311.4416741	ZNF496
1	247204570	247204661	-	5.571068407	RNA5SP82
1	247121975	247172016	-	69.19453784	ZNF124
1	247110160	247112417	-	2.632316479	C1orf229
1	247099962	247104372	-	107.9249756	ZNF669
1	247036784	247078755	-	2.632316479	ZNF670
1	246945547	247008093	-	8.941746088	ZNF695
1	246839098	246931967	-	2626.393767	AHCTF1
1	246776013	246792385	+	2.82426685	LINC01341
1	246771837	246839611	-	3.974109372	KIF28P
1	246724047	246768137	+	923.980429	SCCPDH
1	246566444	246668584	+	1350.705621	CNST
1	246540560	246566324	-	588.5074081	TFB2M
1	245749342	246507312	-	369.9789574	SMYD3
1	245154985	245709431	+	248.5354828	KIF26B
1	244969705	245127164	+	117.4988973	EFCAB2
1	244840638	244864560	-	4722.880241	HNRNPU
1	244835322	244845057	+	25.19013541	COX20
1	244652935	244709033	+	742.1649253	DESI2
1	244408494	244452134	-	1000.280262	ADSS
1	244394976	244395660	-	2.118200138	TGIF2P1
1	244352635	244389663	+	1.717509232	C1orf100
1	244048939	244057476	+	592.3899719	ZBTB18
1	243488233	243851079	-	302.0323123	AKT3
1	243346176	243346255	+	0.506460764	MIR4677
1	243267257	243268119	-	0.993527343	FCF1P7
1	243256034	243500092	+	506.698945	SDCCAG8
1	243124428	243255348	-	968.102704	CEP170
1	243056307	243101744	-	50.64607643	LINC01347
1	241995490	241999073	-	1.012921529	MAP1LC3C
1	241957767	241959062	+	0.572503077	BECN2
1	241847967	241895148	+	74.42540007	EXO1
1	241652278	241802133	+	0.993527343	WDR64
1	241628853	241640254	-	1241.186672	CHML
1	241590102	241677376	-	169.7844129	OPN3
1	241532134	241595642	+	11.45006155	KMO
1	241497603	241519761	-	887.0906535	FH
1	240775515	241357230	-	1.012921529	RGS7
1	240489573	240612149	-	3.54522535	GREM2
1	240014348	240475189	+	5.922712078	FMN2
1	239703381	239730465	-	16.9456011	CHRM3-AS2
1	237042205	237833988	+	0.993527343	RYR2
1	236981339	236981708	+	0.506460764	RPL35P1
1	236795281	236903981	+	1143.122008	MTR
1	236549005	236604504	-	1118.671013	HEATR1
1	236523052	236524508	-	4.967636715	LGALS8-AS1
1	236518000	236552981	+	1714.369687	LGALS8
1	236215555	236281985	-	79.00542469	ERO1B
1	236142505	236221865	+	19.08429447	GPR137B
1	235975830	236065162	-	7.442540007	NID1
1	235839483	235840182	+	0.706066713	LYST-AS1
1	235738005	235738989	+	2.118200138	LDHAP2
1	235661041	235883640	-	1871.076788	LYST
1	235547687	235650754	-	12.50350328	GNG4
1	235449923	235504481	-	285.606338	B3GALNT2
1	235367360	235452443	+	412.6156081	TBCE
1	235327350	235344532	+	608.038734	GGPS1
1	235131634	235328219	-	1347.881354	ARID4B
1	235131183	235161457	-	11.64859758	RBM34
1	235127803	235127937	-	4.558146879	SNORA14B
1	235109336	235128936	-	3035.98382	TOMM20
1	235065479	235074220	-	53.17838025	LINC01348
1	234724042	234736720	+	1.987054686	LINC01132
1	234629311	234634780	+	0.65807912	LINC00184
1	234604269	234609525	-	1499.104235	IRF2BP2
1	234527891	234531779	-	2.118200138	LINC01354
1	234391313	234479103	-	375.1050983	TARBP1
1	234373456	234384049	+	135.6832294	COA6
1	233614004	233672512	+	921.2521303	KCNK1
1	233288868	233289447	-	3.038764586	RPS7P3
1	232950605	232983882	+	276.7781513	NTPCR
1	232804892	232808407	+	8.941746088	MAP10
1	232397965	232561558	-	1898.214945	SIPA1L2
1	231626815	232041272	+	29.65480193	DISC1
1	231528653	231566524	+	407.3509752	TSNAX
1	231528653	231819244	+	0.706066713	TSNAX-DISC1
1	231363751	231425044	-	833.8647876	EGLN1
1	231337104	231355023	+	210.5853183	SPRTN
1	231332753	231337852	-	631.755955	EXOC8
1	231241207	231277973	+	870.3299525	GNPAT
1	231223763	231241187	-	161.0545231	C1orf131
1	231162112	231221556	+	2.632316479	TRIM67
1	231018958	231040246	-	7.060667126	FAM89A
1	230978981	231000595	+	179.8284491	ARV1
1	230906243	230978875	-	413.2736872	TTC13
1	230837119	230869589	-	1041.216656	C1orf198
1	230747384	230802003	+	38.82666807	CAPN9
1	230702523	230714297	-	261.2446837	AGT
1	230642489	230693982	+	835.8544931	COG2
1	230314482	230426371	-	41.52978267	PGBD5
1	230057990	230282124	+	3027.396274	GALNT2
1	229626234	229660199	+	504.941382	URB2
1	229593111	229626047	-	967.3763061	TAF5L
1	229549905	229550022	+	2.82426685	RNA5SP78
1	229516582	229558695	-	287.1294021	ABCB10
1	229440260	229508341	-	715.2455799	NUP133
1	229431245	229434098	-	4.051686115	ACTA1
1	229321005	229343294	-	201.0649234	CCSAP
1	229271062	229305894	+	260.4889002	RAB4A
1	228735077	228746669	+	100.3462616	RHOU
1	228687415	228687826	+	94.70816293	FTH1P2
1	228650241	228651379	+	18.23258752	DUSP5P1
1	228647912	228648032	-	7.442540007	RNA5SP18
1	228558296	228558339	-	1.987054686	RNA5SP162
1	228510425	228512305	-	0.65807912	BTNL10
1	228487061	228495766	+	2626.568171	RNF187
1	228456979	228457873	-	0.572503077	HIST3H2A
1	228424845	228425325	-	0.65807912	HIST3H3
1	228407940	228416861	-	31.06693536	TRIM17
1	228393673	228406840	-	798.641793	TRIM11
1	228208130	228378874	+	225.7211381	OBSCN
1	228165815	228182257	+	321.8006896	IBA57
1	228149852	228159826	+	13.16797987	GJC2
1	228139962	228148984	+	3021.038459	GUK1
1	228114997	228115473	-	1.012921529	FAM96AP2
1	228106679	228109312	-	455.8146879	MRPL55
1	228100726	228105411	-	401.0458928	C1orf35
1	228082660	228099212	+	11928.99711	ARF1
1	227918656	227947898	-	33.77768157	WNT9A
1	227730425	227735411	-	99.36994709	JMJD4
1	227728539	227781231	+	477.4675666	SNAP47
1	227563543	227677443	+	191.9486297	ZNF678
1	226989865	227318474	-	933.9157025	CDC42BPA
1	226870184	226896105	+	293.7237524	PSEN2
1	226656640	226675067	-	15.19382293	ITPKB-IT1
1	226631690	226739323	-	267.9177443	ITPKB
1	226360691	226408079	-	5379.796804	PARP1
1	226231149	226309869	-	90.15683941	LIN9
1	226144679	226186730	-	1748.424399	ACBD3
1	226061851	226072001	+	2695.056642	H3F3A
1	225982702	225999331	-	908.0839916	SDE2
1	225919877	225924340	-	519.2602912	PYCR2
1	225845536	225882369	-	2231.972588	TMEM63A
1	225810092	225845563	+	2630.342242	EPHX1
1	225777813	225790466	+	1466.180381	SRP9
1	225486835	225653142	-	1289.277817	ENAH
1	225401502	225428925	-	2082.190736	LBR
1	224896262	225399292	+	171.8802303	DNAH14
1	224434660	224740549	+	10.59100069	CNIH3
1	224385143	224437033	-	2966.710947	WDR26
1	224356850	224379459	+	576.245859	CNIH4
1	224227334	224330387	-	360.6769388	NVL
1	224175756	224193441	+	1001.908665	DEGS1
1	224114087	224162047	+	1202.256463	FBXO28
1	223951394	223992594	-	12.00313411	GTF2IP20
1	223863726	223864851	-	1.987054686	ACTBP11
1	223856579	223857387	-	0.572503077	PHBP11
1	223779899	223845972	-	1628.745821	TP53BP2
1	223701593	223776018	+	20656.48354	CAPN2
1	223644110	223644383	-	0.572503077	SNRPEP10
1	223538007	223665734	-	3743.154033	CAPN8
1	223220819	223364202	-	12.5950677	SUSD4
1	223109406	223143282	-	153.9967382	TLR5
1	222872271	223005995	+	265.8919013	DISP1
1	222737207	222750805	+	7.060667126	FAM177B
1	222712553	222735196	+	1241.186672	BROX
1	222668013	222713210	-	691.9453784	AIDA
1	222618086	222668012	+	2594.011444	MIA3
1	222589825	222593032	+	9.935273431	TAF1A-AS1
1	222557902	222589933	-	134.1526754	TAF1A
1	222522258	222548103	-	147.0420468	HHIPL2
1	221837334	221837437	-	26.82523826	RNU6-403P
1	221701424	221742176	-	420.5125576	DUSP10
1	220879400	220885059	+	16.9456011	HLX
1	220253570	220254536	+	109.4403405	MORF4L1P1
1	220148293	220272454	-	1010.381466	RAB3GAP2
1	220143964	220144351	-	1.717509232	RPS15AP12
1	220094102	220148041	+	3624.387747	IARS2
1	220057482	220090462	-	544.9517824	BPNT1
1	219968601	220046658	-	4551.30603	EPRS
1	219609627	219612062	-	1.012921529	ZC3H11B
1	219199914	219200567	-	9.116293758	RIMKLBP2
1	219173844	219212865	+	153.0032108	LYPLAL1
1	218510096	218525978	+	0.572503077	C1orf143
1	218346235	218444619	+	35.76698435	TGFB2
1	218344196	218345678	-	1.145006155	TGFB2-AS1
1	218285287	218337983	+	410.22476	RRP15
1	217631324	217871696	+	26.33595974	SPATA17
1	217426992	217631082	-	255.3365272	GPATCH2
1	216503246	217137755	-	10.92880077	ESRRG
1	215622894	216423396	-	0.506460764	USH2A
1	215567392	215621807	+	866.3558431	KCTD3
1	214603195	214664588	+	342.3568403	CENPF
1	214348696	214552449	-	875.1642007	PTPN14
1	214281102	214337131	+	522.4893673	SMYD2
1	213051233	213274773	+	566.9715702	RPS6KC1
1	212992182	213015826	-	359.9692785	ANGEL2
1	212950520	212992037	+	0.706066713	VASH2
1	212858255	212899363	+	516.0835188	FLVCR1
1	212791828	212816626	+	217.5511694	TATDN3
1	212726153	212791782	-	196.0003158	NSL1
1	212686418	212699985	-	51.66342184	BATF3
1	212565334	212620777	+	583.3806359	ATF3
1	212432887	212446379	+	664.0018319	NENF
1	212363931	212414901	-	180.9717579	TMEM206
1	212352816	212352950	+	0.65807912	SNORA16B
1	212309051	212309518	-	0.706066713	RPL23AP18
1	212285537	212361863	+	1041.448401	PPP2R5A
1	212051524	212052006	-	7.442540007	RPL21P28
1	212035553	212107400	+	46.37274927	DTL
1	211940399	212035542	-	438.4674285	INTS7
1	211743457	211830772	-	1461.027854	LPGAT1
1	211658657	211675630	-	111.5585406	NEK2
1	211571568	211578742	-	233.7080819	SLC30A1
1	211476522	211492917	-	0.706066713	RD3
1	211417025	211417934	+	8.587546162	SNX25P1
1	211382803	211435333	+	127.6681863	LINC00467
1	211326615	211374946	+	26.83053508	TRAF5
1	211258377	211316385	+	546.8637486	RCOR3
1	210859177	210862285	-	0.506460764	IPO8P1
1	210265636	210267241	-	0.572503077	ST13P19
1	210232799	210246631	+	548.4270934	SERTAD4
1	209785623	209806175	-	1994.44249	IRF6
1	209779208	209784559	-	59.30960386	C1orf74
1	209756032	209782320	+	405.6750722	TRAF3IP3
1	209686178	209734950	+	24.34892743	HSD11B1
1	209675420	209676388	+	1742.593509	G0S2
1	209623444	209623510	-	2.29001231	MIR4260
1	209614870	209652466	-	18028.70744	LAMB3
1	209583717	209613938	+	23.47262618	CAMK1G
1	209428820	209432838	+	1.012921529	MIR205HG
1	208022242	208244320	-	360.0940234	PLXNA2
1	207880972	207911402	-	4.007521542	CD34
1	207762584	207763263	+	4.007521542	CDCA4P4
1	207752057	207795513	+	17060.85153	CD46
1	207496147	207641765	+	102.3796733	CR1
1	207321376	207386804	+	14291.96683	CD55
1	207104262	207144972	+	7.0904507	C4BPA
1	207088842	207099993	+	333.6461137	C4BPB
1	207043849	207052980	-	367.2081488	YOD1
1	207034366	207081024	+	2729.82352	PFKFB2
