chromosome	Start	End	strand	Blood	GENE ID
1	248936581	248937043	+	12.03180698	RPL23AP25
1	248912690	248912795	-	0	RNU6-1205P
1	248906196	248919946	+	197.6384844	PGBD2
1	248850006	248859144	-	1378.844718	ZNF692
1	248838210	248849517	+	477.8986437	ZNF672
1	248826377	248826443	+	0	MIR3124
1	248810446	248826633	-	3293.592472	SH3BP5L
1	248721993	248722201	-	0	AHCYP8
1	248718649	248755739	-	30.6258092	LYPD8
1	248681369	248682304	-	0	OR14I1
1	248649838	248655528	-	0	OR2T27
1	248636356	248645278	-	0	OR2T35
1	248623557	248635091	-	0	OR2T11
1	248590487	248597700	-	0	OR2T10
1	248573801	248574757	-	0	OR2T34
1	248556912	248562772	-	0	OR2T29
1	248549444	248549762	-	0	OR2AS1P
1	248508073	248527337	+	0	OR2G6
1	248498308	248498649	+	0	OR2AS2P
1	248488589	248491113	+	0	OR2T5
1	248473351	248474307	+	0	OR2T3
1	248445512	248455725	+	0	OR2T2
1	248436359	248444316	+	0	OR2T7
1	248403048	248408020	+	0	OR2T1
1	248375746	248391811	+	0	OR2T6
1	248361581	248362627	+	0	OR2T4
1	248348775	248349713	+	0	OR14C36
1	248323630	248324568	-	0	OR2M7
1	248290139	248303424	-	0	OR2T12
1	248269917	248277976	-	0	OR2T33
1	248231417	248244679	+	0	OR2M4
1	248197265	248212925	+	0	OR2M3
1	248174821	248181067	+	0	OR2M2
1	248145148	248146086	+	0	OR2M5
1	248121932	248122882	+	0	OR2M1P
1	248095184	248101103	+	0	OR2L13
1	248083522	248087522	-	0	OR2T32P
1	248046836	248063407	+	0	OR2L3
1	248030070	248042305	+	0	OR2L2
1	248013660	248024276	+	0	OR2L5
1	248003129	248004068	+	0	OR2L6P
1	247980872	247991204	+	0	OR2L1P
1	247974741	247975653	+	0	OR2L9P
1	247965233	247966386	+	0	OR2AK2
1	247948858	247949796	+	0	OR2L8
1	247938973	247939659	+	0	OR2X1P
1	247936061	247937513	-	0	CLK3P2
1	247924889	247935339	+	0	OR2AJ1
1	247920252	247921956	+	0	OR2T8
1	247895587	247896531	+	0	OR2W3
1	247857199	247878205	+	9.682490782	TRIM58
1	247840928	247841896	-	0	OR11L1
1	247833349	247834288	-	0	OR6R1P
1	247827486	247828502	+	0	HSD17B7P1
1	247814660	247824119	-	0	OR14A16
1	247770169	247779524	+	0	OR9H1P
1	247754846	247760556	-	0	OR1C1
1	247738615	247739559	+	0	OR14K1
1	247722957	247724043	-	0	OR14A2
1	247711436	247716646	-	0	OR6F1
1	247670812	247679739	-	0	OR13G1
1	247666887	247667841	+	0	OR3D1P
1	247617143	247622372	+	0	OR14L1P
1	247605586	247606515	+	0	OR2G3
1	247588360	247589313	+	0	OR2G2
1	247524679	247532613	-	1.174658097	GCSAML-AS1
1	247524677	247536440	-	0	OR2C3
1	247507058	247577690	+	65.15856362	GCSAML
1	247488093	247492415	+	0	OR2W5
1	247449118	247458105	-	8.544854415	OR2B11
1	247416156	247449108	+	1041.394882	NLRP3
1	247297412	247331846	-	225.0665664	ZNF496
1	247255972	247257210	+	0	VN1R5
1	247236868	247237957	-	0	VN1R17P
1	247204570	247204661	-	14.76190043	RNA5SP82
1	247201967	247202060	-	0	MIR3916
1	247121975	247172016	-	23.94667296	ZNF124
1	247119669	247120278	+	0	FGFR3P6
1	247110160	247112417	-	0	C1orf229
1	247099962	247104372	-	127.2381408	ZNF669
1	247036784	247078755	-	6.672794425	ZNF670
1	246945547	247008093	-	2.757586505	ZNF695
1	246839098	246931967	-	8333.577616	AHCTF1
1	246776013	246792385	+	8.55560831	LINC01341
1	246771837	246839611	-	8.11636056	KIF28P
1	246724047	246768137	+	128.5252272	SCCPDH
1	246566444	246668584	+	592.712195	CNST
1	246540560	246566324	-	68.1453617	TFB2M
1	246321663	246322438	-	0	SMYD3-IT1
1	246189014	246189118	-	0	RNU6-1283P
1	246178778	246179204	+	0	CHCHD4P5
1	245749342	246507312	-	51.50049421	SMYD3
1	245282831	245283089	-	0	DNAJC19P8
1	245154985	245709431	+	3.317422498	KIF26B
1	245133927	245134090	-	0	RNU1-132P
1	245043928	245044032	+	0	RNU6-999P
1	245023015	245023118	+	0	RNU6-1089P
1	244969705	245127164	+	121.074115	EFCAB2
1	244954858	244954963	+	0	RNU6-947P
1	244943910	244944216	+	0	RN7SKP55
1	244840638	244864560	-	8434.916679	HNRNPU
1	244835322	244845057	+	66.72650876	COX20
1	244652935	244709033	+	336.6029354	DESI2
1	244598391	244598687	-	0	CYCSP5
1	244408494	244452134	-	941.3310661	ADSS
1	244394976	244395660	-	3.421872244	TGIF2P1
1	244352635	244389663	+	8.544913441	C1orf100
1	244103932	244104210	+	0	RN7SL148P
1	244048939	244057476	+	3727.741225	ZBTB18
1	243793205	243794400	-	0	AKT3-IT1
1	243624666	243625056	-	0	FABP7P1
1	243488233	243851079	-	125.0459433	AKT3
1	243346176	243346255	+	0	MIR4677
1	243267257	243268119	-	2.564766484	FCF1P7
1	243256034	243500092	+	344.0281417	SDCCAG8
1	243124428	243255348	-	1189.381765	CEP170
1	243081156	243081259	-	0	RNU6-747P
1	243056307	243101744	-	517.7531333	LINC01347
1	242772620	242773103	+	0	RSL24D1P4
1	242365189	242365822	+	0	RPL10AP5
1	242188647	242188789	-	0	RN7SKP12
1	242082986	242524696	-	0	PLD5
1	242057085	242060242	+	0	TUBB8P6
1	241995490	241999073	-	0	MAP1LC3C
1	241993185	241993682	+	0	CFL1P4
1	241957767	241959062	+	0	BECN2
1	241916123	241916543	+	0	RPL23AP20
1	241847967	241895148	+	2.281258001	EXO1
1	241652278	241802133	+	2.615817507	WDR64
1	241628853	241640254	-	97.2108441	CHML
1	241590102	241677376	-	27.37170256	OPN3
1	241532134	241595642	+	11.66782791	KMO
1	241497603	241519761	-	75.82983496	FH
1	241132272	241132346	+	0	MIR3123
1	240919653	240920609	+	0	HNRNPA1P42
1	240823006	240823433	-	0	RFKP1
1	240775515	241357230	-	5.336114274	RGS7
1	240653367	240653477	+	0	RNU5F-8P
1	240489573	240612149	-	5.558085848	GREM2
1	240170155	240171291	+	0	ADH5P3
1	240014348	240475189	+	0	FMN2
1	240012646	240013226	+	0	RPS7P5
1	239898016	239899872	-	0	CHRM3-AS1
1	239703381	239730465	-	345.9377157	CHRM3-AS2
1	239386565	239915452	+	2.031763857	CHRM3
1	238777049	238779200	-	0	MIPEPP2
1	238491358	238492644	+	0	KRT18P32
1	238476542	238486054	-	0	LINC01139
1	238325687	238325788	-	0	RNU6-725P
1	238107736	238108567	-	0	YWHAQP9
1	237949736	237951536	-	0	MTND5P18
1	237949214	237949734	+	0	MTND6P15
1	237943724	237945275	-	0	MTRNR2L11
1	237877864	237890922	-	0	ZP4
1	237471119	237471191	+	0	MIR4428
1	237120807	237121109	+	0	RN7SKP195
1	237042205	237833988	+	0.42855288	RYR2
1	237004103	237004418	-	0	MT1HL1
1	236981339	236981708	+	0	RPL35P1
1	236795281	236903981	+	311.5708891	MTR
1	236686454	236764631	+	0	ACTN2
1	236549005	236604504	-	170.7178268	HEATR1
1	236523052	236524508	-	0.85710576	LGALS8-AS1
1	236518000	236552981	+	1532.503774	LGALS8
1	236483165	236484468	+	0	ENO1P1
1	236348257	236502915	+	7.506371731	EDARADD
1	236267780	236267958	+	0	RNU2-70P
1	236215555	236281985	-	446.6323535	ERO1B
1	236142505	236221865	+	57.06417577	GPR137B
1	235975830	236065162	-	29.34015056	NID1
1	235915415	235915521	+	0	RNU6-968P
1	235853000	235853060	-	0	MIR1537
1	235839483	235840182	+	30.15890553	LYST-AS1
1	235738005	235738989	+	27.96935784	LDHAP2
1	235661041	235883640	-	29028.20437	LYST
1	235547687	235650754	-	0	GNG4
1	235541759	235542097	-	0	MTND3P8
1	235540053	235541415	-	0	MTND4P10
1	235538052	235539845	-	0	MTND5P19
1	235537520	235538041	+	0	MTND6P14
1	235449923	235504481	-	61.23814173	B3GALNT2
1	235432985	235433231	+	0	RPS21P1
1	235367360	235452443	+	147.0904837	TBCE
1	235336806	235337087	+	4.694458803	AL391994.1
1	235327350	235344532	+	405.0665835	GGPS1
1	235295865	235296335	+	0.42855288	RPL23AP23
1	235190034	235190116	-	1.015881929	MIR4753
1	235131634	235328219	-	6515.415222	ARID4B
1	235131183	235161457	-	12.39855494	RBM34
1	235127803	235127937	-	0	SNORA14B
1	235109336	235128936	-	609.051969	TOMM20
1	235065479	235074220	-	9.447417613	LINC01348
1	234904186	234904488	+	0	RN7SL668P
1	234837976	234838069	+	0	RNY4P16
1	234724042	234736720	+	0.42855288	LINC01132
1	234629311	234634780	+	0.42855288	LINC00184
1	234604269	234609525	-	815.5372378	IRF2BP2
1	234527891	234531779	-	0.42855288	LINC01354
1	234391313	234479103	-	251.6706439	TARBP1
1	234373456	234384049	+	35.85122607	COA6
1	234306467	234306539	+	0	MIR4671
1	234026851	234027227	-	0	RAC1P7
1	233904933	234324516	+	2.845029081	SLC35F3
1	233624152	233624219	+	0	MIR4427
1	233614004	233672512	+	0	KCNK1
